The Network with [784, 10]

Epoch 0: 5253 / 10000
Epoch 1: 5620 / 10000
Epoch 2: 5678 / 10000
Epoch 3: 6594 / 10000
Epoch 4: 6619 / 10000
Epoch 5: 6613 / 10000
Epoch 6: 6657 / 10000
Epoch 7: 6741 / 10000
Epoch 8: 7326 / 10000
Epoch 9: 7384 / 10000
Epoch 10: 7431 / 10000
Epoch 11: 7455 / 10000
Epoch 12: 7456 / 10000
Epoch 13: 7458 / 10000
Epoch 14: 7462 / 10000
Epoch 15: 7460 / 10000
Epoch 16: 7489 / 10000
Epoch 17: 8324 / 10000
Epoch 18: 8338 / 10000
Epoch 19: 8367 / 10000
Epoch 20: 8346 / 10000
Epoch 21: 8343 / 10000
Epoch 22: 8359 / 10000
Epoch 23: 8365 / 10000
Epoch 24: 8338 / 10000
Epoch 25: 8335 / 10000
Epoch 26: 8358 / 10000
Epoch 27: 8356 / 10000
Epoch 28: 8347 / 10000
Epoch 29: 8356 / 10000


The Network with [784, 30, 10]

Epoch 0: 8798 / 10000
Epoch 1: 9074 / 10000
Epoch 2: 9200 / 10000
Epoch 3: 9242 / 10000
Epoch 4: 9295 / 10000
Epoch 5: 9306 / 10000
Epoch 6: 9329 / 10000
Epoch 7: 9356 / 10000
Epoch 8: 9364 / 10000
Epoch 9: 9378 / 10000
Epoch 10: 9400 / 10000
Epoch 11: 9391 / 10000
Epoch 12: 9422 / 10000
Epoch 13: 9417 / 10000
Epoch 14: 9426 / 10000
Epoch 15: 9437 / 10000
Epoch 16: 9437 / 10000
Epoch 17: 9445 / 10000
Epoch 18: 9454 / 10000
Epoch 19: 9441 / 10000
Epoch 20: 9462 / 10000
Epoch 21: 9461 / 10000
Epoch 22: 9479 / 10000
Epoch 23: 9464 / 10000
Epoch 24: 9465 / 10000
Epoch 25: 9461 / 10000
Epoch 26: 9455 / 10000
Epoch 27: 9461 / 10000
Epoch 28: 9464 / 10000
Epoch 29: 9476 / 10000
